LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.670505046844482
Steps = 1000, loss = 0.0022486683446913958
Steps = 2000, loss = 0.0006826716708019376
Steps = 3000, loss = 0.00031734572257846594
Steps = 4000, loss = 0.0001730653748381883
Steps = 5000, loss = 9.310762834502384e-05
Steps = 6000, loss = 5.187246642890386e-05
Steps = 7000, loss = 3.084976924583316e-05
Steps = 8000, loss = 1.7991109416470863e-05
Steps = 9000, loss = 1.0711077266023494e-05
Steps = 10000, loss = 6.331807071546791e-06
Steps = 11000, loss = 3.862419362121727e-06
Steps = 12000, loss = 2.253565071441699e-06
Steps = 13000, loss = 1.3208476730142138e-06
Steps = 14000, loss = 7.590277846247773e-07
Steps = 15000, loss = 4.4540499288814317e-07
Steps = 16000, loss = 2.5937330860870134e-07
Steps = 17000, loss = 1.485459364403141e-07
Steps = 18000, loss = 8.591450040285054e-08
Steps = 19000, loss = 5.820765736075373e-08
Steps = 20000, loss = 3.143213334055872e-08
Steps = 21000, loss = 0.0008662850013934076
Steps = 22000, loss = 0.00028376386035233736
Steps = 23000, loss = 0.0001331648527411744
Steps = 24000, loss = 6.926891364855692e-05
Steps = 25000, loss = 3.679322253447026e-05
Steps = 26000, loss = 2.161968222935684e-05
Steps = 27000, loss = 1.2483822501963004e-05
Steps = 28000, loss = 7.659395123482682e-06
Steps = 29000, loss = 4.477554284676444e-06
Steps = 30000, loss = 2.684067567315651e-06
Steps = 31000, loss = 1.6507676718902076e-06
Steps = 32000, loss = 1.0009385960074724e-06
Steps = 33000, loss = 5.9860752799068e-07
Steps = 34000, loss = 3.5506670315044175e-07
Steps = 35000, loss = 2.160668230999363e-07
Steps = 36000, loss = 1.2689268658050423e-07
Steps = 37000, loss = 7.729976658765736e-08
Steps = 38000, loss = 4.027969779940577e-08
Steps = 39000, loss = 3.399327042075129e-08
Steps = 40000, loss = 2.3515893232683993e-08
Steps = 41000, loss = 1.5133990061144686e-08
Steps = 42000, loss = 0.0012708684662356973
Steps = 43000, loss = 0.0002620031009428203
Steps = 44000, loss = 0.00011431545863160864
Steps = 45000, loss = 6.351749470923096e-05
Steps = 46000, loss = 3.4634911571629345e-05
Steps = 47000, loss = 2.064134787360672e-05
Steps = 48000, loss = 1.2234228961460758e-05
Steps = 49000, loss = 7.573246421088697e-06
Steps = 50000, loss = 4.698973953054519e-06
Test accuracy: 1.0 (got 1536 right out of 1536)
