LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.824352264404297
Steps = 100, loss = 3.941420316696167
Steps = 200, loss = 2.246769428253174
Steps = 300, loss = 0.31976741552352905
Steps = 400, loss = 0.028287984430789948
Steps = 500, loss = 0.013764042407274246
Steps = 600, loss = 0.008370006456971169
Steps = 700, loss = 0.004957614932209253
Steps = 800, loss = 0.003791475435718894
Steps = 900, loss = 0.003155580023303628
Steps = 1000, loss = 0.0026542895939201117
Steps = 1100, loss = 0.002178745809942484
Steps = 1200, loss = 0.001892805565148592
Steps = 1300, loss = 0.0016344488831236959
Steps = 1400, loss = 0.0014299392933025956
Steps = 1500, loss = 0.0012656069593504071
Steps = 1600, loss = 0.0011162327136844397
Steps = 1700, loss = 0.001014805631712079
Steps = 1800, loss = 0.0009516221471130848
Steps = 1900, loss = 0.0008347845869138837
Steps = 2000, loss = 0.0007726752082817256
Steps = 2100, loss = 0.000685012259054929
Steps = 2200, loss = 0.0006419002893380821
Steps = 2300, loss = 0.0005789934657514095
Steps = 2400, loss = 0.0005545823369175196
Steps = 2500, loss = 0.0005126712494529784
Steps = 2600, loss = 0.00047268159687519073
Steps = 2700, loss = 0.00044272237573750317
Steps = 2800, loss = 0.000407572922995314
Steps = 2900, loss = 0.0003801712009590119
Steps = 3000, loss = 0.00035800741170533
Steps = 3100, loss = 0.0003361355629749596
Steps = 3200, loss = 0.00031571995350532234
Steps = 3300, loss = 0.0002960471319966018
Steps = 3400, loss = 0.0002769625571090728
Steps = 3500, loss = 0.00026074546622112393
Steps = 3600, loss = 0.00024002241843845695
Steps = 3700, loss = 0.0002260315086459741
Steps = 3800, loss = 0.00021582235058303922
Steps = 3900, loss = 0.00020144863810855895
Steps = 4000, loss = 0.0001943305687746033
Steps = 4100, loss = 0.00018170232942793518
Steps = 4200, loss = 0.00017171130457427353
Steps = 4300, loss = 0.0001665103336563334
Steps = 4400, loss = 0.00015361035184469074
Steps = 4500, loss = 0.0001466507965233177
Steps = 4600, loss = 0.0001366407668683678
Steps = 4700, loss = 0.0001280307915294543
Steps = 4800, loss = 0.00012395964586175978
Steps = 4900, loss = 0.00011798826744779944
Steps = 5000, loss = 0.0001087534983525984
Steps = 5100, loss = 0.0001056467299349606
Steps = 5200, loss = 0.00010051961726276204
Steps = 5300, loss = 9.487853822065517e-05
Steps = 5400, loss = 9.005711763165891e-05
Steps = 5500, loss = 8.532153151463717e-05
