LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.21M
Steps = 0, loss = 4.8016357421875
Steps = 1000, loss = 1.5961649417877197
Steps = 2000, loss = 1.3899061679840088
Steps = 3000, loss = 0.912124752998352
Steps = 4000, loss = 0.9075490236282349
Steps = 5000, loss = 0.5645002722740173
Steps = 6000, loss = 0.46468791365623474
Steps = 7000, loss = 0.04655846208333969
Steps = 8000, loss = 0.010516279377043247
Steps = 9000, loss = 0.00359603064134717
Steps = 10000, loss = 0.0004941811203025281
Steps = 11000, loss = 0.00018587365048006177
Steps = 12000, loss = 0.00010440753248985857
Steps = 13000, loss = 5.4467182053485885e-05
Steps = 14000, loss = 3.427719639148563e-05
Steps = 15000, loss = 2.2924101358512416e-05
Steps = 16000, loss = 1.1261904546699952e-05
Steps = 17000, loss = 7.776712664053775e-06
Steps = 18000, loss = 6.100980044720927e-06
Steps = 19000, loss = 3.2095611004478997e-06
Steps = 20000, loss = 1.9138644802296767e-06
Steps = 21000, loss = 1.308506739405857e-06
Steps = 22000, loss = 7.390041787402879e-07
Steps = 23000, loss = 4.859174396187882e-07
Steps = 24000, loss = 3.0617226798312913e-07
Steps = 25000, loss = 1.7508862981685525e-07
Steps = 26000, loss = 1.2293456563838845e-07
Steps = 27000, loss = 9.825452451650563e-08
Steps = 28000, loss = 8.265487139169636e-08
Steps = 29000, loss = 7.078050856534901e-08
Steps = 30000, loss = 7.613561336938801e-08
Steps = 31000, loss = 7.404013757650318e-08
Steps = 32000, loss = 6.915069405977192e-08
Steps = 33000, loss = 0.001210027257911861
Steps = 34000, loss = 0.0003076392167713493
Steps = 35000, loss = 0.0001697870611678809
Steps = 36000, loss = 8.758252079132944e-05
Steps = 37000, loss = 4.8602072638459504e-05
Steps = 38000, loss = 2.6817828256753273e-05
Steps = 39000, loss = 1.5581903426209465e-05
Steps = 40000, loss = 8.202089702535886e-06
Steps = 41000, loss = 6.363892680383287e-06
Steps = 42000, loss = 3.519685378705617e-06
Steps = 43000, loss = 2.0756810954480898e-06
Steps = 44000, loss = 1.366481342301995e-06
Steps = 45000, loss = 9.036151595864794e-07
Steps = 46000, loss = 5.620530032501847e-07
Steps = 47000, loss = 3.6205153719492955e-07
Steps = 48000, loss = 2.3609024424331437e-07
Steps = 49000, loss = 1.6647389600166207e-07
Steps = 50000, loss = 1.4691612193473702e-07
Test accuracy: 1.0 (got 1536 right out of 1536)
