LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.21M
Steps = 0, loss = 4.646759033203125
Steps = 1000, loss = 0.0021637477912008762
Steps = 2000, loss = 0.0006385998567566276
Steps = 3000, loss = 0.0002919403777923435
Steps = 4000, loss = 0.00015699620416853577
Steps = 5000, loss = 8.47075498313643e-05
Steps = 6000, loss = 5.075706576462835e-05
Steps = 7000, loss = 2.938950819952879e-05
Steps = 8000, loss = 1.7385069440933876e-05
Steps = 9000, loss = 1.0512243534321897e-05
Steps = 10000, loss = 6.241004030016484e-06
Steps = 11000, loss = 3.697808779179468e-06
Steps = 12000, loss = 2.2349386199493892e-06
Steps = 13000, loss = 1.3203818980400683e-06
Steps = 14000, loss = 7.513443733841996e-07
Steps = 15000, loss = 4.365574284292961e-07
Steps = 16000, loss = 2.6240010697620164e-07
Steps = 17000, loss = 1.4808027515300637e-07
Steps = 18000, loss = 9.452923421804371e-08
Steps = 19000, loss = 4.889443161459894e-08
Steps = 20000, loss = 3.399327042075129e-08
Steps = 21000, loss = 2.3981554519991732e-08
Steps = 22000, loss = 3.748573007555933e-08
Steps = 23000, loss = 1.932494164691434e-08
Steps = 24000, loss = 0.0084282411262393
Steps = 25000, loss = 0.0007366932113654912
Steps = 26000, loss = 0.00028644755366258323
Steps = 27000, loss = 0.00014344668306875974
Steps = 28000, loss = 8.029579475987703e-05
Steps = 29000, loss = 4.402950798976235e-05
Steps = 30000, loss = 2.6413537852931768e-05
Steps = 31000, loss = 1.605724355613347e-05
Steps = 32000, loss = 9.032385605678428e-06
Steps = 33000, loss = 5.725517439714167e-06
Steps = 34000, loss = 3.3900064408953767e-06
Steps = 35000, loss = 2.095007175739738e-06
Steps = 36000, loss = 1.2284137937967898e-06
Steps = 37000, loss = 7.010529543549637e-07
Steps = 38000, loss = 4.281755252577568e-07
Steps = 39000, loss = 2.6985068757312547e-07
Steps = 40000, loss = 1.532025493133915e-07
Steps = 41000, loss = 1.015141535276598e-07
Steps = 42000, loss = 6.23986053938097e-08
Steps = 43000, loss = 5.4948028349599554e-08
Steps = 44000, loss = 4.0745359086713506e-08
Steps = 45000, loss = 3.329477848978968e-08
Steps = 46000, loss = 0.000899426348041743
Steps = 47000, loss = 0.0003086855576839298
Steps = 48000, loss = 0.0001499487552791834
Steps = 49000, loss = 7.667098543606699e-05
Steps = 50000, loss = 4.294521932024509e-05
Test accuracy: 1.0 (got 1536 right out of 1536)
