LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.80143928527832
Steps = 1000, loss = 0.002379416022449732
Steps = 2000, loss = 0.0007191616459749639
Steps = 3000, loss = 0.00032604936859570444
Steps = 4000, loss = 0.000176358109456487
Steps = 5000, loss = 9.879442222882062e-05
Steps = 6000, loss = 5.794060416519642e-05
Steps = 7000, loss = 3.438353451201692e-05
Steps = 8000, loss = 1.9844632333843037e-05
Steps = 9000, loss = 1.1741341040760744e-05
Steps = 10000, loss = 7.195602393039735e-06
Steps = 11000, loss = 4.274760158295976e-06
Steps = 12000, loss = 2.515964297344908e-06
Steps = 13000, loss = 1.452862193218607e-06
Steps = 14000, loss = 8.563509936720948e-07
Steps = 15000, loss = 4.89642786760669e-07
Steps = 16000, loss = 2.9825602609889756e-07
Steps = 17000, loss = 1.6996635565647011e-07
Steps = 18000, loss = 1.0011716966573658e-07
Steps = 19000, loss = 0.0016024204669520259
Steps = 20000, loss = 0.0004183377022854984
Steps = 21000, loss = 0.00019310168863739818
Steps = 22000, loss = 9.478556603426114e-05
Steps = 23000, loss = 5.334750676411204e-05
Steps = 24000, loss = 3.075541462749243e-05
Steps = 25000, loss = 1.8042534065898508e-05
Steps = 26000, loss = 1.0809546438395046e-05
Steps = 27000, loss = 6.708282853651326e-06
Steps = 28000, loss = 3.7813927065144526e-06
Steps = 29000, loss = 2.3017598778096726e-06
Steps = 30000, loss = 1.3457602108246647e-06
Steps = 31000, loss = 8.055938565121323e-07
Steps = 32000, loss = 4.793982384398987e-07
Steps = 33000, loss = 2.79629574606588e-07
Steps = 34000, loss = 1.6763804921993142e-07
Steps = 35000, loss = 1.0011716966573658e-07
Steps = 36000, loss = 5.84404880044076e-08
Steps = 37000, loss = 3.725289943190546e-08
Steps = 38000, loss = 3.6321576857289983e-08
Steps = 39000, loss = 0.0011899033561348915
Steps = 40000, loss = 0.0003017770650330931
Steps = 41000, loss = 0.00013515444879885763
Steps = 42000, loss = 6.941114406799898e-05
Steps = 43000, loss = 4.006455492344685e-05
Steps = 44000, loss = 2.3204747776617296e-05
Steps = 45000, loss = 1.3569028851634357e-05
Steps = 46000, loss = 8.473363777738996e-06
Steps = 47000, loss = 4.807939149031881e-06
Steps = 48000, loss = 3.034941073565278e-06
Steps = 49000, loss = 1.8584521512821084e-06
Steps = 50000, loss = 1.1133956832054537e-06
Test accuracy: 1.0 (got 1536 right out of 1536)
