LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.798959255218506
Steps = 100, loss = 4.582003116607666
Steps = 200, loss = 3.3177781105041504
Steps = 300, loss = 0.8405721783638
Steps = 400, loss = 0.07093127071857452
Steps = 500, loss = 0.01334754005074501
Steps = 600, loss = 0.007843068800866604
Steps = 700, loss = 0.005575004033744335
Steps = 800, loss = 0.004243542440235615
Steps = 900, loss = 0.0033580900635570288
Steps = 1000, loss = 0.002795272273942828
Steps = 1100, loss = 0.0023241022136062384
Steps = 1200, loss = 0.0019793985411524773
Steps = 1300, loss = 0.0017726246733218431
Steps = 1400, loss = 0.0015482149319723248
Steps = 1500, loss = 0.0013457719469442964
Steps = 1600, loss = 0.0012394156074151397
Steps = 1700, loss = 0.0011275947326794267
Steps = 1800, loss = 0.0009912671521306038
Steps = 1900, loss = 0.0008984468295238912
Steps = 2000, loss = 0.0008137684781104326
Steps = 2100, loss = 0.000731593172531575
Steps = 2200, loss = 0.0006706108688376844
Steps = 2300, loss = 0.0006310747703537345
Steps = 2400, loss = 0.0005901849362999201
Steps = 2500, loss = 0.0005277339369058609
Steps = 2600, loss = 0.00048116425750777125
Steps = 2700, loss = 0.00045050057815387845
Steps = 2800, loss = 0.00043370004277676344
Steps = 2900, loss = 0.0003993255668319762
Steps = 3000, loss = 0.0003657994675450027
Steps = 3100, loss = 0.00034696486545726657
Steps = 3200, loss = 0.00032403942896053195
Steps = 3300, loss = 0.00030603594495914876
Steps = 3400, loss = 0.00028725137235596776
Steps = 3500, loss = 0.00026655688998289406
Steps = 3600, loss = 0.0002520284615457058
Steps = 3700, loss = 0.00024070104700513184
Steps = 3800, loss = 0.0002222915063612163
Steps = 3900, loss = 0.00021901345462538302
Steps = 4000, loss = 0.0001941415830515325
Steps = 4100, loss = 0.0001872224675025791
Steps = 4200, loss = 0.0001789085945347324
Steps = 4300, loss = 0.0001636190718272701
Steps = 4400, loss = 0.0001549838634673506
Steps = 4500, loss = 0.00015161800547502935
Steps = 4600, loss = 0.00013989566650707275
Steps = 4700, loss = 0.00013389241939876229
Steps = 4800, loss = 0.00012453591625671834
Steps = 4900, loss = 0.0001223378349095583
Steps = 5000, loss = 0.00011270566756138578
Steps = 5100, loss = 0.00010821636533364654
Steps = 5200, loss = 0.00010391335672466084
Steps = 5300, loss = 9.769287134986371e-05
Steps = 5400, loss = 9.036994015332311e-05
Steps = 5500, loss = 8.574077219236642e-05
Steps = 5600, loss = 8.264022471848875e-05
Steps = 5700, loss = 7.904984522610903e-05
Steps = 5800, loss = 7.458915206370875e-05
Steps = 5900, loss = 7.0352187321987e-05
Steps = 6000, loss = 6.836890679551288e-05
