LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.814789295196533
Steps = 100, loss = 4.731975078582764
Steps = 200, loss = 4.737692832946777
Steps = 300, loss = 4.712944984436035
Steps = 400, loss = 4.640401840209961
Steps = 500, loss = 2.421872138977051
Steps = 600, loss = 0.3872397541999817
Steps = 700, loss = 0.05811333283782005
Steps = 800, loss = 0.023969631642103195
Steps = 900, loss = 0.013337944634258747
Steps = 1000, loss = 0.008762656711041927
Steps = 1100, loss = 0.006301869638264179
Steps = 1200, loss = 0.004717872012406588
Steps = 1300, loss = 0.003708150237798691
Steps = 1400, loss = 0.0030051961075514555
Steps = 1500, loss = 0.002470416482537985
Steps = 1600, loss = 0.002052443102002144
Steps = 1700, loss = 0.001735176658257842
Steps = 1800, loss = 0.0015152443666011095
Steps = 1900, loss = 0.0013149664737284184
Steps = 2000, loss = 0.0011532962089404464
Steps = 2100, loss = 0.0010330299846827984
Steps = 2200, loss = 0.0009186124079860747
Steps = 2300, loss = 0.0008108984329737723
Steps = 2400, loss = 0.0007391863618977368
Steps = 2500, loss = 0.0006628417177125812
Steps = 2600, loss = 0.0006032234523445368
Steps = 2700, loss = 0.0005510023911483586
Steps = 2800, loss = 0.0004999192315153778
Steps = 2900, loss = 0.0004561466339509934
Steps = 3000, loss = 0.0004161385877523571
Steps = 3100, loss = 0.0003845430619549006
Steps = 3200, loss = 0.00035347475204616785
Steps = 3300, loss = 0.0003276305506005883
Steps = 3400, loss = 0.00030521961161866784
Steps = 3500, loss = 0.00027879109256900847
Steps = 3600, loss = 0.0002615272533148527
Steps = 3700, loss = 0.0002421583340037614
Steps = 3800, loss = 0.00022419373271986842
Steps = 3900, loss = 0.00021293018653523177
Steps = 4000, loss = 0.00019691344641614705
Steps = 4100, loss = 0.00018393383652437478
Steps = 4200, loss = 0.00017068935267161578
Steps = 4300, loss = 0.00016270997002720833
Steps = 4400, loss = 0.00015067246567923576
Steps = 4500, loss = 0.00014045991702005267
Steps = 4600, loss = 0.00013352834503166378
Steps = 4700, loss = 0.00012214096204843372
Steps = 4800, loss = 0.0001158771337941289
Steps = 4900, loss = 0.00011058459494961426
Steps = 5000, loss = 0.00010281449795002118
Steps = 5100, loss = 9.807943570194766e-05
Steps = 5200, loss = 9.118785237660632e-05
Steps = 5300, loss = 8.698098099557683e-05
Steps = 5400, loss = 8.008464646991342e-05
Steps = 5500, loss = 7.670283957850188e-05
Steps = 5600, loss = 7.173973426688462e-05
Steps = 5700, loss = 6.78258656989783e-05
Steps = 5800, loss = 6.386872701114044e-05
Steps = 5900, loss = 6.091452087275684e-05
Steps = 6000, loss = 5.676573346136138e-05
Steps = 6100, loss = 5.414025508798659e-05
Steps = 6200, loss = 5.10686804773286e-05
Steps = 6300, loss = 4.805879507330246e-05
Steps = 6400, loss = 4.504308890318498e-05
Steps = 6500, loss = 4.2861785914283246e-05
Steps = 6600, loss = 4.062648440594785e-05
Steps = 6700, loss = 3.8757854781579226e-05
Steps = 6800, loss = 3.634349559433758e-05
Steps = 6900, loss = 3.4535863960627466e-05
Steps = 7000, loss = 3.26139124808833e-05
Steps = 7100, loss = 3.074340565945022e-05
Steps = 7200, loss = 2.8969529012101702e-05
Steps = 7300, loss = 2.7290165235172026e-05
Steps = 7400, loss = 2.5930008632712997e-05
Steps = 7500, loss = 2.4684630261617713e-05
Steps = 7600, loss = 2.3341925043496303e-05
Steps = 7700, loss = 2.2223201085580513e-05
Steps = 7800, loss = 2.09799109143205e-05
Steps = 7900, loss = 1.964838338608388e-05
Steps = 8000, loss = 1.8717313650995493e-05
Steps = 8100, loss = 1.7709637177176774e-05
Steps = 8200, loss = 1.6749227143009193e-05
Steps = 8300, loss = 1.5829098629183136e-05
Steps = 8400, loss = 1.5061932572280057e-05
Steps = 8500, loss = 1.4410946278076153e-05
Steps = 8600, loss = 1.3576729543274269e-05
Steps = 8700, loss = 1.285658981942106e-05
Steps = 8800, loss = 1.2114103810745291e-05
Steps = 8900, loss = 1.1513409845065325e-05
Steps = 9000, loss = 1.091620470106136e-05
Steps = 9100, loss = 1.0376739737694152e-05
Steps = 9200, loss = 9.813760698307306e-06
Steps = 9300, loss = 9.266849701816682e-06
Steps = 9400, loss = 8.807944141153712e-06
Steps = 9500, loss = 8.372088814212475e-06
Steps = 9600, loss = 7.932044354674872e-06
Steps = 9700, loss = 7.515278412029147e-06
