LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.656196594238281
Steps = 100, loss = 3.8797829151153564
Steps = 200, loss = 1.2347904443740845
Steps = 300, loss = 0.03530007600784302
Steps = 400, loss = 0.011951048858463764
Steps = 500, loss = 0.007500201463699341
Steps = 600, loss = 0.005460149608552456
Steps = 700, loss = 0.004024132154881954
Steps = 800, loss = 0.003248319961130619
Steps = 900, loss = 0.002582786837592721
Steps = 1000, loss = 0.0021880173590034246
Steps = 1100, loss = 0.001877815811894834
Steps = 1200, loss = 0.0016198464436456561
Steps = 1300, loss = 0.00140340905636549
Steps = 1400, loss = 0.001242776750586927
Steps = 1500, loss = 0.0011301006888970733
Steps = 1600, loss = 0.0010056940373033285
Steps = 1700, loss = 0.0008823246462270617
Steps = 1800, loss = 0.0007852294947952032
Steps = 1900, loss = 0.0007339276489801705
Steps = 2000, loss = 0.0006739982054568827
Steps = 2100, loss = 0.0006346385343931615
Steps = 2200, loss = 0.0005764556699432433
Steps = 2300, loss = 0.0005251332186162472
Steps = 2400, loss = 0.0004931612056680024
Steps = 2500, loss = 0.00046069634845480323
Steps = 2600, loss = 0.0004229585756547749
Steps = 2700, loss = 0.0003936152206733823
Steps = 2800, loss = 0.0003670833248179406
Steps = 2900, loss = 0.00033937281114049256
Steps = 3000, loss = 0.0003214376338291913
Steps = 3100, loss = 0.0002961035934276879
Steps = 3200, loss = 0.0002793659514281899
Steps = 3300, loss = 0.0002601179003249854
Steps = 3400, loss = 0.00024918554117903113
Steps = 3500, loss = 0.00023124397557694465
Steps = 3600, loss = 0.00021577501320280135
Steps = 3700, loss = 0.00020360856433399022
Steps = 3800, loss = 0.00019163897377438843
Steps = 3900, loss = 0.00018410035409033298
Steps = 4000, loss = 0.00017290946561843157
Steps = 4100, loss = 0.00016308831982314587
Steps = 4200, loss = 0.00015461673319805413
Steps = 4300, loss = 0.00014404869580175728
Steps = 4400, loss = 0.00013684364967048168
Steps = 4500, loss = 0.00012994233111385256
Steps = 4600, loss = 0.00012196197349112481
Steps = 4700, loss = 0.00011537978571141139
Steps = 4800, loss = 0.0001111995879909955
Steps = 4900, loss = 0.00010138084326172248
Steps = 5000, loss = 9.886163752526045e-05
Steps = 5100, loss = 9.514651901554316e-05
Steps = 5200, loss = 9.010505891637877e-05
Steps = 5300, loss = 8.479400275973603e-05
Steps = 5400, loss = 7.899193587945774e-05
Steps = 5500, loss = 7.461202767444775e-05
Steps = 5600, loss = 7.216633821371943e-05
Steps = 5700, loss = 6.681442755507305e-05
Steps = 5800, loss = 6.501148891402408e-05
Steps = 5900, loss = 6.032983583281748e-05
Steps = 6000, loss = 5.758563565905206e-05
Steps = 6100, loss = 5.5927059293026105e-05
Steps = 6200, loss = 5.2328392484923825e-05
Steps = 6300, loss = 4.9123897042591125e-05
Steps = 6400, loss = 4.749158688355237e-05
Steps = 6500, loss = 4.374925993033685e-05
Steps = 6600, loss = 4.2226616642437875e-05
Steps = 6700, loss = 4.0147057006834075e-05
Steps = 6800, loss = 3.8452584703918546e-05
Steps = 6900, loss = 3.551135887391865e-05
Steps = 7000, loss = 3.4774937375914305e-05
Steps = 7100, loss = 3.310398096800782e-05
Steps = 7200, loss = 3.094617204624228e-05
Steps = 7300, loss = 2.930873233708553e-05
Steps = 7400, loss = 2.8630976885324344e-05
Steps = 7500, loss = 2.6823339794646017e-05
Steps = 7600, loss = 2.5228258891729638e-05
Steps = 7700, loss = 2.3576369130751118e-05
Steps = 7800, loss = 2.3090695322025567e-05
Steps = 7900, loss = 2.1990827008266933e-05
Steps = 8000, loss = 2.067816058115568e-05
Steps = 8100, loss = 1.9580154912546277e-05
Steps = 8200, loss = 1.856433846114669e-05
Steps = 8300, loss = 1.7273314369958825e-05
Steps = 8400, loss = 1.6740839782869443e-05
Steps = 8500, loss = 1.5915469703031704e-05
Steps = 8600, loss = 1.501862243458163e-05
Steps = 8700, loss = 1.4291968000179622e-05
Steps = 8800, loss = 1.354249889118364e-05
Steps = 8900, loss = 1.2866365068475716e-05
Steps = 9000, loss = 1.2087556569895241e-05
Steps = 9100, loss = 1.170758423540974e-05
Steps = 9200, loss = 1.0959508472296875e-05
Steps = 9300, loss = 1.0493852641957346e-05
Steps = 9400, loss = 9.980463801184669e-06
Steps = 9500, loss = 9.309687811764888e-06
Steps = 9600, loss = 8.992806215246674e-06
Steps = 9700, loss = 8.59467309055617e-06
Steps = 9800, loss = 8.038445230340585e-06
Steps = 9900, loss = 7.594206635985756e-06
Steps = 10000, loss = 7.354624813160626e-06
Steps = 10100, loss = 6.9632401391572785e-06
Steps = 10200, loss = 6.5148124122060835e-06
Steps = 10300, loss = 6.228898655535886e-06
Steps = 10400, loss = 5.932041403866606e-06
Steps = 10500, loss = 5.682913979399018e-06
Steps = 10600, loss = 5.317604063748149e-06
Steps = 10700, loss = 5.1148094826203305e-06
Steps = 10800, loss = 4.780931249115383e-06
Steps = 10900, loss = 4.485936642595334e-06
Steps = 11000, loss = 4.411432200868148e-06
Steps = 11100, loss = 4.137857104069553e-06
Steps = 11200, loss = 3.946937340515433e-06
Steps = 11300, loss = 3.74274532077834e-06
Steps = 11400, loss = 3.5355262753000716e-06
