LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.6739349365234375
Steps = 1000, loss = 0.014652363955974579
Steps = 2000, loss = 0.001457854057662189
Steps = 3000, loss = 0.0004898708430118859
Steps = 4000, loss = 0.0002266907540615648
Steps = 5000, loss = 0.00011460828682174906
Steps = 6000, loss = 6.184762605698779e-05
Steps = 7000, loss = 3.427090632612817e-05
Steps = 8000, loss = 1.921951479744166e-05
Steps = 9000, loss = 1.0983492757077329e-05
Steps = 10000, loss = 6.304568159976043e-06
Steps = 11000, loss = 3.6307540085545043e-06
Steps = 12000, loss = 2.0870913886028575e-06
Steps = 13000, loss = 1.2002416269751848e-06
Steps = 14000, loss = 6.805639145568421e-07
Steps = 15000, loss = 3.869645013310219e-07
Steps = 16000, loss = 2.3422761330493813e-07
Steps = 17000, loss = 1.539010412443531e-07
Steps = 18000, loss = 1.1501833085958424e-07
Steps = 19000, loss = 0.12382951378822327
Steps = 20000, loss = 0.0007988581201061606
Steps = 21000, loss = 0.00023928559676278383
Steps = 22000, loss = 0.00010546911653364077
Steps = 23000, loss = 6.210181163623929e-05
Steps = 24000, loss = 3.531786933308467e-05
Steps = 25000, loss = 2.287663119204808e-05
Steps = 26000, loss = 1.4356653082359117e-05
Steps = 27000, loss = 8.932724995247554e-06
Steps = 28000, loss = 5.536925073101884e-06
Steps = 29000, loss = 3.4037436762446305e-06
Steps = 30000, loss = 2.183948708989192e-06
Steps = 31000, loss = 1.318053477916692e-06
Steps = 32000, loss = 8.516943239555985e-07
Steps = 33000, loss = 5.25265875239711e-07
Steps = 34000, loss = 3.2526438076274644e-07
Steps = 35000, loss = 2.107117182958973e-07
Steps = 36000, loss = 1.3853421876319771e-07
Steps = 37000, loss = 9.895301644746723e-08
Steps = 38000, loss = 0.011489066295325756
Steps = 39000, loss = 0.0011005112901329994
Steps = 40000, loss = 0.0002795738691929728
Steps = 41000, loss = 0.0001106899871956557
Steps = 42000, loss = 4.457306204130873e-05
Steps = 43000, loss = 2.2491989511763677e-05
Steps = 44000, loss = 1.2656321814574767e-05
Steps = 45000, loss = 8.09314315119991e-06
Steps = 46000, loss = 5.018645424570423e-06
Steps = 47000, loss = 3.16183263748826e-06
Steps = 48000, loss = 2.001176653720904e-06
Steps = 49000, loss = 1.2498342130129458e-06
Steps = 50000, loss = 8.298081866087159e-07
Test accuracy: 1.0 (got 1536 right out of 1536)
