LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.661948204040527
Steps = 100, loss = 3.8795385360717773
Steps = 200, loss = 1.4058406352996826
Steps = 300, loss = 0.04167477786540985
Steps = 400, loss = 0.012834287248551846
Steps = 500, loss = 0.007409235928207636
Steps = 600, loss = 0.005460694897919893
Steps = 700, loss = 0.003974411636590958
Steps = 800, loss = 0.0031785534229129553
Steps = 900, loss = 0.002610936760902405
Steps = 1000, loss = 0.0022106978576630354
Steps = 1100, loss = 0.0018780354876071215
Steps = 1200, loss = 0.0015884690219536424
Steps = 1300, loss = 0.001396090374328196
Steps = 1400, loss = 0.0012263108510524035
Steps = 1500, loss = 0.001104029011912644
Steps = 1600, loss = 0.0009957666043192148
Steps = 1700, loss = 0.0008753049769438803
Steps = 1800, loss = 0.000813898746855557
Steps = 1900, loss = 0.0007370312232524157
Steps = 2000, loss = 0.00067092728568241
Steps = 2100, loss = 0.0006149972323328257
Steps = 2200, loss = 0.0005573598900809884
Steps = 2300, loss = 0.0005284647922962904
Steps = 2400, loss = 0.00048618006985634565
Steps = 2500, loss = 0.0004459012998268008
Steps = 2600, loss = 0.00041362547199241817
Steps = 2700, loss = 0.00038595308433286846
Steps = 2800, loss = 0.00035251351073384285
Steps = 2900, loss = 0.00033575165434740484
Steps = 3000, loss = 0.0003148947434965521
Steps = 3100, loss = 0.00029724472551606596
Steps = 3200, loss = 0.00027635108563117683
Steps = 3300, loss = 0.0002574411337263882
Steps = 3400, loss = 0.00024180048785638064
Steps = 3500, loss = 0.00022506556706503034
Steps = 3600, loss = 0.00021246750839054585
Steps = 3700, loss = 0.00020207550551276654
Steps = 3800, loss = 0.00019062093633692712
Steps = 3900, loss = 0.00018261723744217306
Steps = 4000, loss = 0.00016912446881178766
Steps = 4100, loss = 0.00016252569912467152
Steps = 4200, loss = 0.00015298290236387402
Steps = 4300, loss = 0.00014568836195394397
Steps = 4400, loss = 0.00013716280227527022
Steps = 4500, loss = 0.00013068094267509878
Steps = 4600, loss = 0.00011875725613208488
Steps = 4700, loss = 0.00011458196968305856
Steps = 4800, loss = 0.00010536667105043307
Steps = 4900, loss = 0.00010324532922822982
Steps = 5000, loss = 9.966016659745947e-05
Steps = 5100, loss = 9.38525699893944e-05
Steps = 5200, loss = 8.65859110490419e-05
Steps = 5300, loss = 8.338712359545752e-05
Steps = 5400, loss = 7.79698311816901e-05
Steps = 5500, loss = 7.489371637348086e-05
Steps = 5600, loss = 7.024633669061586e-05
Steps = 5700, loss = 6.73764297971502e-05
Steps = 5800, loss = 6.293338810792193e-05
Steps = 5900, loss = 5.9002311900258064e-05
Steps = 6000, loss = 5.733044963562861e-05
Steps = 6100, loss = 5.511356357601471e-05
Steps = 6200, loss = 5.134566526976414e-05
Steps = 6300, loss = 4.8854741180548444e-05
Steps = 6400, loss = 4.704341699834913e-05
Steps = 6500, loss = 4.4484255340648815e-05
Steps = 6600, loss = 4.215792796458118e-05
Steps = 6700, loss = 3.989259130321443e-05
Steps = 6800, loss = 3.7970414268784225e-05
Steps = 6900, loss = 3.5936725907959044e-05
Steps = 7000, loss = 3.399149136384949e-05
Steps = 7100, loss = 3.325112265883945e-05
Steps = 7200, loss = 3.125513467239216e-05
Steps = 7300, loss = 2.8436576030799188e-05
Steps = 7400, loss = 2.785311698971782e-05
Steps = 7500, loss = 2.637794204929378e-05
Steps = 7600, loss = 2.4766801288933493e-05
Steps = 7700, loss = 2.3821527065592818e-05
Steps = 7800, loss = 2.2507238099933602e-05
Steps = 7900, loss = 2.1643458239850588e-05
Steps = 8000, loss = 2.024091372732073e-05
Steps = 8100, loss = 1.9185050405212678e-05
Steps = 8200, loss = 1.8361544789513573e-05
Steps = 8300, loss = 1.7315225704805925e-05
Steps = 8400, loss = 1.6453996067866683e-05
Steps = 8500, loss = 1.5759709640406072e-05
Steps = 8600, loss = 1.5357150914496742e-05
