LR = 0.001, batch_size = 512, block_size = 9


number of parameters: 0.41M
Steps = 0, loss = 4.670339107513428
Steps = 100, loss = 3.3685309886932373
Steps = 200, loss = 0.5638266801834106
Steps = 300, loss = 0.024543700739741325
Steps = 400, loss = 0.011816926300525665
Steps = 500, loss = 0.007234976161271334
Steps = 600, loss = 0.005336768925189972
Steps = 700, loss = 0.003956021275371313
Steps = 800, loss = 0.003214187454432249
Steps = 900, loss = 0.0026805633679032326
Steps = 1000, loss = 0.0022038090974092484
Steps = 1100, loss = 0.0018742474494501948
Steps = 1200, loss = 0.0015752090839669108
Steps = 1300, loss = 0.0014087960589677095
Steps = 1400, loss = 0.0012682594824582338
Steps = 1500, loss = 0.0010865217773243785
Steps = 1600, loss = 0.0009990258840844035
Steps = 1700, loss = 0.0009011852089315653
Steps = 1800, loss = 0.0008302502101287246
Steps = 1900, loss = 0.0007524248794652522
Steps = 2000, loss = 0.0006864903843961656
Steps = 2100, loss = 0.0006290099117904902
Steps = 2200, loss = 0.000572955294046551
Steps = 2300, loss = 0.0005358612397685647
Steps = 2400, loss = 0.0004712558293249458
Steps = 2500, loss = 0.0004463707737158984
Steps = 2600, loss = 0.000432335480581969
Steps = 2700, loss = 0.00039199821185320616
Steps = 2800, loss = 0.00036919262493029237
Steps = 2900, loss = 0.0003390837227925658
Steps = 3000, loss = 0.0003177631297148764
Steps = 3100, loss = 0.000299608102068305
Steps = 3200, loss = 0.00027830470935441554
Steps = 3300, loss = 0.00026808236725628376
Steps = 3400, loss = 0.0002451172622386366
Steps = 3500, loss = 0.00023342567146755755
Steps = 3600, loss = 0.00021677048061974347
Steps = 3700, loss = 0.00020782611682079732
Steps = 3800, loss = 0.0001947952841874212
Steps = 3900, loss = 0.00017913704505190253
Steps = 4000, loss = 0.00016938717453740537
Steps = 4100, loss = 0.00016701249114703387
Steps = 4200, loss = 0.00015239452477544546
Steps = 4300, loss = 0.00014798309712205082
Steps = 4400, loss = 0.00014061322144698352
Steps = 4500, loss = 0.0001288978528464213
Steps = 4600, loss = 0.00012164124200353399
Steps = 4700, loss = 0.00011585947504499927
Steps = 4800, loss = 0.00011030083987861872
Steps = 4900, loss = 0.00010209035099251196
Steps = 5000, loss = 9.887688793241978e-05
Steps = 5100, loss = 9.367299935547635e-05
Steps = 5200, loss = 8.900988905224949e-05
Steps = 5300, loss = 8.354655437869951e-05
Steps = 5400, loss = 7.919113704701886e-05
Steps = 5500, loss = 7.564869156340137e-05
Steps = 5600, loss = 7.161989924497902e-05
Steps = 5700, loss = 7.020389602985233e-05
Steps = 5800, loss = 6.353241769829765e-05
Steps = 5900, loss = 6.130879773991182e-05
Steps = 6000, loss = 5.645691999234259e-05
Steps = 6100, loss = 5.465210779220797e-05
Steps = 6200, loss = 5.2254101319704205e-05
Steps = 6300, loss = 4.9852333177113906e-05
Steps = 6400, loss = 4.842471025767736e-05
Steps = 6500, loss = 4.42255986854434e-05
Steps = 6600, loss = 4.186130900052376e-05
Steps = 6700, loss = 4.013564102933742e-05
Steps = 6800, loss = 3.8177851820364594e-05
Steps = 6900, loss = 3.541030309861526e-05
Steps = 7000, loss = 3.531274705892429e-05
Steps = 7100, loss = 3.27179477608297e-05
Steps = 7200, loss = 3.0860257538734004e-05
Steps = 7300, loss = 2.917694473580923e-05
Steps = 7400, loss = 2.8092686989111826e-05
Steps = 7500, loss = 2.6825888198800385e-05
Steps = 7600, loss = 2.5013359845615923e-05
Steps = 7700, loss = 2.3916982172522694e-05
Steps = 7800, loss = 2.2962642105994746e-05
Steps = 7900, loss = 2.137290903192479e-05
Steps = 8000, loss = 2.0349176338640973e-05
Steps = 8100, loss = 1.93650193978101e-05
Steps = 8200, loss = 1.8576674847281538e-05
Steps = 8300, loss = 1.783512379915919e-05
Steps = 8400, loss = 1.667145079409238e-05
Steps = 8500, loss = 1.5470768630621023e-05
Steps = 8600, loss = 1.4956688573874999e-05
Steps = 8700, loss = 1.405029161105631e-05
Steps = 8800, loss = 1.3458910871122498e-05
Steps = 8900, loss = 1.289011379412841e-05
Steps = 9000, loss = 1.2217243238410447e-05
Steps = 9100, loss = 1.1618176358751953e-05
Steps = 9200, loss = 1.137277558882488e-05
Steps = 9300, loss = 1.0453571121615823e-05
Steps = 9400, loss = 9.962070180336013e-06
Steps = 9500, loss = 9.250083166989498e-06
Steps = 9600, loss = 9.15997770789545e-06
Steps = 9700, loss = 8.398396857955959e-06
Steps = 9800, loss = 7.985591764736455e-06
Steps = 9900, loss = 7.724357601546217e-06
Steps = 10000, loss = 7.293623184523312e-06
Steps = 10100, loss = 6.94717391525046e-06
Steps = 10200, loss = 6.57488180877408e-06
Steps = 10300, loss = 6.170924280013423e-06
Steps = 10400, loss = 5.914346274948912e-06
Steps = 10500, loss = 5.6228441280836705e-06
Steps = 10600, loss = 5.299443273543147e-06
Steps = 10700, loss = 5.104797310195863e-06
Steps = 10800, loss = 4.802584498975193e-06
Steps = 10900, loss = 4.679185167333344e-06
Steps = 11000, loss = 4.386285581858829e-06
Steps = 11100, loss = 4.094318228453631e-06
Steps = 11200, loss = 4.00398039346328e-06
